id,date,country,deaths
1462,2020-09-12,United Kingdom,9
1463,2020-09-12,France,1
1464,2020-09-12,US,714
1465,2020-09-13,Italy,7
1466,2020-09-13,"Korea, South",5
1467,2020-09-13,Spain,0
1468,2020-09-13,United Kingdom,5
1469,2020-09-13,France,1
1470,2020-09-13,US,378
1471,2020-09-14,Italy,14
1472,2020-09-14,"Korea, South",4
1473,2020-09-14,Spain,101
1474,2020-09-14,United Kingdom,9
1475,2020-09-14,France,55
1476,2020-09-14,US,422
1477,2020-09-15,Italy,9
1478,2020-09-15,"Korea, South",0
1479,2020-09-15,Spain,156
1480,2020-09-15,United Kingdom,27
1481,2020-09-15,France,49
1482,2020-09-15,US,1293
1483,2020-09-16,Italy,12
1484,2020-09-16,"Korea, South",5
1485,2020-09-16,Spain,239
1486,2020-09-16,United Kingdom,20
1487,2020-09-16,France,49
1488,2020-09-16,US,1014
1489,2020-09-17,Italy,13
1490,2020-09-17,"Korea, South",5
1491,2020-09-17,Spain,162
1492,2020-09-17,United Kingdom,21
1493,2020-09-17,France,47
1494,2020-09-17,US,870
1495,2020-09-18,Italy,10
1496,2020-09-18,"Korea, South",1
1497,2020-09-18,Spain,90
1498,2020-09-18,United Kingdom,27
1499,2020-09-18,France,154
1500,2020-09-18,US,937
1501,2020-09-19,Italy,24
1502,2020-09-19,"Korea, South",5
1503,2020-09-19,Spain,0
1504,2020-09-19,United Kingdom,27
1505,2020-09-19,France,0
1506,2020-09-19,US,689
1507,2020-09-20,Italy,15
1508,2020-09-20,"Korea, South",2
1509,2020-09-20,Spain,0
1510,2020-09-20,United Kingdom,18
1511,2020-09-20,France,0
1512,2020-09-20,US,227
1513,2020-09-21,Italy,17
1514,2020-09-21,"Korea, South",3
1515,2020-09-21,Spain,168
1516,2020-09-21,United Kingdom,11
1517,2020-09-21,France,89
1518,2020-09-21,US,356
1519,2020-09-22,Italy,14
1520,2020-09-22,"Korea, South",0
1521,2020-09-22,Spain,241
1522,2020-09-22,United Kingdom,37
1523,2020-09-22,France,80
1524,2020-09-22,US,921
1525,2020-09-23,Italy,20
1526,2020-09-23,"Korea, South",5
1527,2020-09-23,Spain,130
1528,2020-09-23,United Kingdom,37
1529,2020-09-23,France,21
1530,2020-09-23,US,1098
1531,2020-09-24,Italy,23
1532,2020-09-24,"Korea, South",2
1533,2020-09-24,Spain,84
1534,2020-09-24,United Kingdom,40
1535,2020-09-24,France,77
1536,2020-09-24,US,914
1537,2020-09-25,Italy,20
1538,2020-09-25,"Korea, South",4
1539,2020-09-25,Spain,114
1540,2020-09-25,United Kingdom,34
1541,2020-09-25,France,151
1542,2020-09-25,US,952
1543,2020-09-26,Italy,17
1544,2020-09-26,"Korea, South",2
1545,2020-09-26,Spain,0
1546,2020-09-26,United Kingdom,35
1547,2020-09-26,France,0
1548,2020-09-26,US,740
1549,2020-09-27,Italy,17
1550,2020-09-27,"Korea, South",5
1551,2020-09-27,Spain,0
1552,2020-09-27,United Kingdom,17
1553,2020-09-27,France,0
1554,2020-09-27,US,266
1555,2020-09-28,Italy,16
1556,2020-09-28,"Korea, South",1
1557,2020-09-28,Spain,179
1558,2020-09-28,United Kingdom,13
1559,2020-09-28,France,69
1560,2020-09-28,US,316
1561,2020-09-29,Italy,24
1562,2020-09-29,"Korea, South",6
1563,2020-09-29,Spain,0
1564,2020-09-29,United Kingdom,72
1565,2020-09-29,France,164
1566,2020-09-29,US,914
1567,2020-09-30,Italy,19
1568,2020-09-30,"Korea, South",2
1569,2020-09-30,Spain,380
1570,2020-09-30,United Kingdom,71
1571,2020-09-30,France,78
1572,2020-09-30,US,946
1573,2020-10-01,Italy,24
1574,2020-10-01,"Korea, South",1
1575,2020-10-01,Spain,182
1576,2020-10-01,United Kingdom,59
1577,2020-10-01,France,48
1578,2020-10-01,US,857
1579,2020-10-02,Italy,23
1580,2020-10-02,"Korea, South",4
1581,2020-10-02,Spain,113
1582,2020-10-02,United Kingdom,66
1583,2020-10-02,France,137
1584,2020-10-02,US,906
1585,2020-10-03,Italy,27
1586,2020-10-03,"Korea, South",1
1587,2020-10-03,Spain,0
1588,2020-10-03,United Kingdom,49
1589,2020-10-03,France,0
1590,2020-10-03,US,687
1591,2020-10-04,Italy,18
1592,2020-10-04,"Korea, South",1
1593,2020-10-04,Spain,0
1594,2020-10-04,United Kingdom,33
1595,2020-10-04,France,0
1596,2020-10-04,US,337
1597,2020-10-05,Italy,16
1598,2020-10-05,"Korea, South",0
1599,2020-10-05,Spain,139
1600,2020-10-05,United Kingdom,19
1601,2020-10-05,France,146
1602,2020-10-05,US,460
1603,2020-10-06,Italy,28
1604,2020-10-06,"Korea, South",3
1605,2020-10-06,Spain,261
1606,2020-10-06,United Kingdom,76
1607,2020-10-06,France,66
1608,2020-10-06,US,705
1609,2020-10-07,Italy,31
1610,2020-10-07,"Korea, South",2
1611,2020-10-07,Spain,76
1612,2020-10-07,United Kingdom,70
1613,2020-10-07,France,80
1614,2020-10-07,US,915
1615,2020-10-08,Italy,22
1616,2020-10-08,"Korea, South",1
1617,2020-10-08,Spain,126
1618,2020-10-08,United Kingdom,77
1619,2020-10-08,France,76
1620,2020-10-08,US,961
1621,2020-10-09,Italy,28
1622,2020-10-09,"Korea, South",2
1623,2020-10-09,Spain,241
1624,2020-10-09,United Kingdom,87
1625,2020-10-09,France,62
1626,2020-10-09,US,990
1627,2020-10-10,Italy,29
1628,2020-10-10,"Korea, South",2
1629,2020-10-10,Spain,0
1630,2020-10-10,United Kingdom,81
1631,2020-10-10,France,0
1632,2020-10-10,US,618
1633,2020-10-11,Italy,26
1634,2020-10-11,"Korea, South",1
1635,2020-10-11,Spain,0
1636,2020-10-11,United Kingdom,65
1637,2020-10-11,France,0
1638,2020-10-11,US,398
1639,2020-10-12,Italy,39
1640,2020-10-12,"Korea, South",1
1641,2020-10-12,Spain,195
1642,2020-10-12,United Kingdom,50
1643,2020-10-12,France,102
1644,2020-10-12,US,317
1645,2020-10-13,Italy,41
1646,2020-10-13,"Korea, South",4
1647,2020-10-13,Spain,80
1648,2020-10-13,United Kingdom,143
1649,2020-10-13,France,279
1650,2020-10-13,US,802
1651,2020-10-14,Italy,43
1652,2020-10-14,"Korea, South",1
1653,2020-10-14,Spain,209
1654,2020-10-14,United Kingdom,137
1655,2020-10-14,France,76
1656,2020-10-14,US,985
1657,2020-10-15,Italy,83
1658,2020-10-15,"Korea, South",2
1659,2020-10-15,Spain,140
1660,2020-10-15,United Kingdom,138
1661,2020-10-15,France,88
1662,2020-10-15,US,820
1663,2020-10-16,Italy,55
1664,2020-10-16,"Korea, South",2
